roi_name,roi_type,metric,hemisphere,reference_population,age_min,age_max,sex,expected_mean,expected_sd,covariates,units,version
inferior_parietal,cortical,thickness,lh,HCP,18,30,F,2.32,0.13,None,mm,HCP-v1.0
inferior_parietal,cortical,thickness,rh,HCP,18,30,M,2.28,0.11,None,mm,HCP-v1.0
inferior_parietal,cortical,thickness,rh,HCP,18,30,F,2.30,0.12,None,mm,HCP-v1.0
inferior_temporal,cortical,thickness,lh,HCP,18,30,M,2.64,0.15,None,mm,HCP-v1.0
inferior_temporal,cortical,thickness,lh,HCP,18,30,F,2.66,0.16,None,mm,HCP-v1.0
inferior_temporal,cortical,thickness,rh,HCP,18,30,M,2.67,0.14,None,mm,HCP-v1.0
inferior_temporal,cortical,thickness,rh,HCP,18,30,F,2.69,0.15,None,mm,HCP-v1.0
isthmus_cingulate,cortical,thickness,lh,HCP,18,30,M,2.18,0.18,None,mm,HCP-v1.0
isthmus_cingulate,cortical,thickness,lh,HCP,18,30,F,2.20,0.19,None,mm,HCP-v1.0
isthmus_cingulate,cortical,thickness,rh,HCP,18,30,M,2.16,0.17,None,mm,HCP-v1.0
isthmus_cingulate,cortical,thickness,rh,HCP,18,30,F,2.18,0.18,None,mm,HCP-v1.0
lateral_occipital,cortical,thickness,lh,HCP,18,30,M,2.08,0.10,None,mm,HCP-v1.0
lateral_occipital,cortical,thickness,lh,HCP,18,30,F,2.10,0.11,None,mm,HCP-v1.0
lateral_occipital,cortical,thickness,rh,HCP,18,30,M,2.11,0.10,None,mm,HCP-v1.0
lateral_occipital,cortical,thickness,rh,HCP,18,30,F,2.13,0.11,None,mm,HCP-v1.0
lingual,cortical,thickness,lh,HCP,18,30,M,1.94,0.08,None,mm,HCP-v1.0
lingual,cortical,thickness,lh,HCP,18,30,F,1.96,0.09,None,mm,HCP-v1.0
lingual,cortical,thickness,rh,HCP,18,30,M,1.97,0.08,None,mm,HCP-v1.0
lingual,cortical,thickness,rh,HCP,18,30,F,1.99,0.09,None,mm,HCP-v1.0
medial_orbitofrontal,cortical,thickness,lh,HCP,18,30,M,2.38,0.20,None,mm,HCP-v1.0
medial_orbitofrontal,cortical,thickness,lh,HCP,18,30,F,2.40,0.22,None,mm,HCP-v1.0
medial_orbitofrontal,cortical,thickness,rh,HCP,18,30,M,2.35,0.19,None,mm,HCP-v1.0
medial_orbitofrontal,cortical,thickness,rh,HCP,18,30,F,2.37,0.21,None,mm,HCP-v1.0
middle_temporal,cortical,thickness,lh,HCP,18,30,M,2.42,0.14,None,mm,HCP-v1.0
middle_temporal,cortical,thickness,lh,HCP,18,30,F,2.44,0.15,None,mm,HCP-v1.0
middle_temporal,cortical,thickness,rh,HCP,18,30,M,2.45,0.13,None,mm,HCP-v1.0
middle_temporal,cortical,thickness,rh,HCP,18,30,F,2.47,0.14,None,mm,HCP-v1.0
parahippocampal,cortical,thickness,lh,HCP,18,30,M,2.68,0.32,None,mm,HCP-v1.0
parahippocampal,cortical,thickness,lh,HCP,18,30,F,2.72,0.34,None,mm,HCP-v1.0
parahippocampal,cortical,thickness,rh,HCP,18,30,M,2.65,0.31,None,mm,HCP-v1.0
parahippocampal,cortical,thickness,rh,HCP,18,30,F,2.69,0.33,None,mm,HCP-v1.0
postcentral,cortical,thickness,lh,HCP,18,30,M,1.94,0.09,None,mm,HCP-v1.0
postcentral,cortical,thickness,lh,HCP,18,30,F,1.96,0.10,None,mm,HCP-v1.0
postcentral,cortical,thickness,rh,HCP,18,30,M,1.97,0.09,None,mm,HCP-v1.0
postcentral,cortical,thickness,rh,HCP,18,30,F,1.99,0.10,None,mm,HCP-v1.0
posterior_cingulate,cortical,thickness,lh,HCP,18,30,M,2.28,0.17,None,mm,HCP-v1.0
posterior_cingulate,cortical,thickness,lh,HCP,18,30,F,2.30,0.18,None,mm,HCP-v1.0
posterior_cingulate,cortical,thickness,rh,HCP,18,30,M,2.25,0.16,None,mm,HCP-v1.0
posterior_cingulate,cortical,thickness,rh,HCP,18,30,F,2.27,0.17,None,mm,HCP-v1.0
precentral,cortical,thickness,lh,HCP,18,30,M,2.26,0.09,None,mm,HCP-v1.0
precentral,cortical,thickness,lh,HCP,18,30,F,2.28,0.10,None,mm,HCP-v1.0
precentral,cortical,thickness,rh,HCP,18,30,M,2.24,0.09,None,mm,HCP-v1.0
precentral,cortical,thickness,rh,HCP,18,30,F,2.26,0.10,None,mm,HCP-v1.0
precuneus,cortical,thickness,lh,HCP,18,30,M,2.22,0.11,None,mm,HCP-v1.0
precuneus,cortical,thickness,lh,HCP,18,30,F,2.24,0.12,None,mm,HCP-v1.0
precuneus,cortical,thickness,rh,HCP,18,30,M,2.20,0.10,None,mm,HCP-v1.0
precuneus,cortical,thickness,rh,HCP,18,30,F,2.22,0.11,None,mm,HCP-v1.0
rostral_anterior_cingulate,cortical,thickness,lh,HCP,18,30,M,2.38,0.23,None,mm,HCP-v1.0
rostral_anterior_cingulate,cortical,thickness,lh,HCP,18,30,F,2.41,0.25,None,mm,HCP-v1.0
rostral_anterior_cingulate,cortical,thickness,rh,HCP,18,30,M,2.35,0.22,None,mm,HCP-v1.0
rostral_anterior_cingulate,cortical,thickness,rh,HCP,18,30,F,2.38,0.24,None,mm,HCP-v1.0
rostral_middle_frontal,cortical,thickness,lh,HCP,18,30,M,2.22,0.10,None,mm,HCP-v1.0
rostral_middle_frontal,cortical,thickness,lh,HCP,18,30,F,2.24,0.11,None,mm,HCP-v1.0
rostral_middle_frontal,cortical,thickness,rh,HCP,18,30,M,2.19,0.09,None,mm,HCP-v1.0
rostral_middle_frontal,cortical,thickness,rh,HCP,18,30,F,2.21,0.10,None,mm,HCP-v1.0
superior_frontal,cortical,thickness,lh,HCP,18,30,M,2.31,0.10,None,mm,HCP-v1.0
superior_frontal,cortical,thickness,lh,HCP,18,30,F,2.33,0.11,None,mm,HCP-v1.0
superior_frontal,cortical,thickness,rh,HCP,18,30,M,2.28,0.10,None,mm,HCP-v1.0
superior_frontal,cortical,thickness,rh,HCP,18,30,F,2.30,0.11,None,mm,HCP-v1.0
superior_parietal,cortical,thickness,lh,HCP,18,30,M,2.14,0.09,None,mm,HCP-v1.0
superior_parietal,cortical,thickness,lh,HCP,18,30,F,2.16,0.10,None,mm,HCP-v1.0
superior_parietal,cortical,thickness,rh,HCP,18,30,M,2.12,0.08,None,mm,HCP-v1.0
superior_parietal,cortical,thickness,rh,HCP,18,30,F,2.14,0.09,None,mm,HCP-v1.0
superior_temporal,cortical,thickness,lh,HCP,18,30,M,2.53,0.12,None,mm,HCP-v1.0
superior_temporal,cortical,thickness,lh,HCP,18,30,F,2.56,0.13,None,mm,HCP-v1.0
superior_temporal,cortical,thickness,rh,HCP,18,30,M,2.53,0.12,None,mm,HCP-v1.0
superior_temporal,cortical,thickness,rh,HCP,18,30,F,2.56,0.13,None,mm,HCP-v1.0
supramarginal,cortical,thickness,lh,HCP,18,30,M,2.34,0.10,None,mm,HCP-v1.0
supramarginal,cortical,thickness,lh,HCP,18,30,F,2.36,0.11,None,mm,HCP-v1.0
supramarginal,cortical,thickness,rh,HCP,18,30,M,2.32,0.10,None,mm,HCP-v1.0
supramarginal,cortical,thickness,rh,HCP,18,30,F,2.34,0.11,None,mm,HCP-v1.0
transverse_temporal,cortical,thickness,lh,HCP,18,30,M,2.41,0.15,None,mm,HCP-v1.0
transverse_temporal,cortical,thickness,lh,HCP,18,30,F,2.43,0.16,None,mm,HCP-v1.0
transverse_temporal,cortical,thickness,rh,HCP,18,30,M,2.38,0.14,None,mm,HCP-v1.0
transverse_temporal,cortical,thickness,rh,HCP,18,30,F,2.40,0.15,None,mm,HCP-v1.0
Left-Hippocampus,subcortical,volume,lh,HCP,18,30,M,3482,342,TIV,mm3,HCP-v1.0
Left-Hippocampus,subcortical,volume,lh,HCP,18,30,F,3354,298,TIV,mm3,HCP-v1.0
Right-Hippocampus,subcortical,volume,rh,HCP,18,30,M,3512,355,TIV,mm3,HCP-v1.0
Right-Hippocampus,subcortical,volume,rh,HCP,18,30,F,3384,328,TIV,mm3,HCP-v1.0
Left-Hippocampus,subcortical,volume,lh,ADNI,65,75,M,3121,376,TIV;Age,mm3,ADNI-v1.0
Left-Hippocampus,subcortical,volume,lh,ADNI,65,75,F,3012,351,TIV;Age,mm3,ADNI-v1.0
Right-Hippocampus,subcortical,volume,rh,ADNI,65,75,M,3145,384,TIV;Age,mm3,ADNI-v1.0
Right-Hippocampus,subcortical,volume,rh,ADNI,65,75,F,3034,362,TIV;Age,mm3,ADNI-v1.0
Left-Amygdala,subcortical,volume,lh,HCP,18,30,M,1184,126,TIV,mm3,HCP-v1.0
Left-Amygdala,subcortical,volume,lh,HCP,18,30,F,1142,118,TIV,mm3,HCP-v1.0
Right-Amygdala,subcortical,volume,rh,HCP,18,30,M,1218,138,TIV,mm3,HCP-v1.0
Right-Amygdala,subcortical,volume,rh,HCP,18,30,F,1176,130,TIV,mm3,HCP-v1.0
Left-Amygdala,subcortical,volume,lh,ADNI,65,75,M,1087,142,TIV;Age,mm3,ADNI-v1.0
Left-Amygdala,subcortical,volume,lh,ADNI,65,75,F,1052,136,TIV;Age,mm3,ADNI-v1.0
Right-Amygdala,subcortical,volume,rh,ADNI,65,75,M,1118,156,TIV;Age,mm3,ADNI-v1.0
Right-Amygdala,subcortical,volume,rh,ADNI,65,75,F,1082,148,TIV;Age,mm3,ADNI-v1.0
Left-Thalamus,subcortical,volume,lh,HCP,18,30,M,6834,512,TIV,mm3,HCP-v1.0
Left-Thalamus,subcortical,volume,lh,HCP,18,30,F,6512,468,TIV,mm3,HCP-v1.0
Right-Thalamus,subcortical,volume,rh,HCP,18,30,M,6912,528,TIV,mm3,HCP-v1.0
Right-Thalamus,subcortical,volume,rh,HCP,18,30,F,6584,485,TIV,mm3,HCP-v1.0
Left-Thalamus,subcortical,volume,lh,ADNI,65,75,M,6234,586,TIV;Age,mm3,ADNI-v1.0
Left-Thalamus,subcortical,volume,lh,ADNI,65,75,F,5876,542,TIV;Age,mm3,ADNI-v1.0
Right-Thalamus,subcortical,volume,rh,ADNI,65,75,M,6312,598,TIV;Age,mm3,ADNI-v1.0
Right-Thalamus,subcortical,volume,rh,ADNI,65,75,F,5948,558,TIV;Age,mm3,ADNI-v1.0
Left-Caudate,subcortical,volume,lh,HCP,18,30,M,3541,418,TIV,mm3,HCP-v1.0
Left-Caudate,subcortical,volume,lh,HCP,18,30,F,3312,368,TIV,mm3,HCP-v1.0
Right-Caudate,subcortical,volume,rh,HCP,18,30,M,3634,434,TIV,mm3,HCP-v1.0
Right-Caudate,subcortical,volume,rh,HCP,18,30,F,3384,382,TIV,mm3,HCP-v1.0
Left-Caudate,subcortical,volume,lh,ADNI,65,75,M,3187,456,TIV;Age,mm3,ADNI-v1.0
Left-Caudate,subcortical,volume,lh,ADNI,65,75,F,2984,412,TIV;Age,mm3,ADNI-v1.0
Right-Caudate,subcortical,volume,rh,ADNI,65,75,M,3278,468,TIV;Age,mm3,ADNI-v1.0
Right-Caudate,subcortical,volume,rh,ADNI,65,75,F,3062,425,TIV;Age,mm3,ADNI-v1.0
Left-Putamen,subcortical,volume,lh,HCP,18,30,M,4512,436,TIV,mm3,HCP-v1.0
Left-Putamen,subcortical,volume,lh,HCP,18,30,F,4234,384,TIV,mm3,HCP-v1.0
Right-Putamen,subcortical,volume,rh,HCP,18,30,M,4612,452,TIV,mm3,HCP-v1.0
Right-Putamen,subcortical,volume,rh,HCP,18,30,F,4328,398,TIV,mm3,HCP-v1.0
Left-Putamen,subcortical,volume,lh,ADNI,65,75,M,4087,498,TIV;Age,mm3,ADNI-v1.0
Left-Putamen,subcortical,volume,lh,ADNI,65,75,F,3834,442,TIV;Age,mm3,ADNI-v1.0
Right-Putamen,subcortical,volume,rh,ADNI,65,75,M,4186,512,TIV;Age,mm3,ADNI-v1.0
Right-Putamen,subcortical,volume,rh,ADNI,65,75,F,3927,456,TIV;Age,mm3,ADNI-v1.0
